"Stock #","Into Stock","Status Desc.","Stock Type","Frn","Model Short Desc.","VIN","Rego"
"U06134","05/09/23","Allocated","Used","REN","METEOR 350 SUPERNOVA","ME3DJEMT5NV010442","FDW26"
"U06457","01/08/24","Allocated","Used","REN","BULLET 350","ME3DJENT5RV000691","HFQ69"
"U06016","15/05/23","Allocated","Used","REN","HIMALAYAN EFI ABS","ME3DMEFT5MK001182","ESS35"
"U06459","05/08/24","Allocated","Used","REN","BULLET 500 CLASSIC ELEC START","ME3CKEDT5HC196509","CFP37"
"U06511","17/09/24","Allocated","Used","REN","CONTINENTAL GT 650 CHROME","ME3CNEGT6LK054469","DLU42"
"U06476","23/08/24","Allocated","Used","REN","INTERCEPTOR 650 CHROME","ME3CNEHT6LK042386","EEY74"
"U06221","21/11/23","Allocated","Used","SUZ","GSX-R125A","MH8DL33AZ0J100302","FHE93"
"U06234","08/12/23","For Sale","Used","SUZ","V-STROM 650 XT                ","JS1C7212200100079","BCB89"
"U06288","17/02/24","Allocated","Used","SUZ","GSX-8S","JS1EM11AZ07100214","GCZ42"
"U06257","04/01/24","Allocated","Used","SUZ","V-STROM 1000 (ABS) (DL1000A)  ","JS1DD111200100246","AEE20"
"U06177","09/10/23","Allocated","Used","SUZ","GSX-R1000R","JS1DM11AZ02100064","CZE26"
"U06029","31/05/23","Allocated","Used","SUZ","V-STROM 1050XT (DL1050RC)","JS1EF12AZ07100121","EMW84"
"U06359","26/04/24","Allocated","Used","TRI","TRIDENT 660","SMTLGL10U3NAT4936","FCJ14"
"U06289","20/02/24","Allocated","Used","TRI","TRIDENT 660","SMTLGL10U3PBF8007","ERW81"
"U06332","21/03/24","Allocated","Used","TRI","TRIDENT 660","SMTLGL10U3PBF2842","ROJA4"
"U02991","03/11/15","Allocated","Used","TRI","2014 STREET TRIPLE R ABS","SMTTTL1366E621095","AEG21"
"U06304","27/02/24","Allocated","Used","TRI","STREET TRIPLE R","SMTTTL1366G714182","JHX25"
"U06376","18/05/24","Allocated","Used","TRI","STREET TRIPLE R","SMTTTL1366F675931","HBR54"
"U06272","29/01/24","For Sale","Used","TRI","STREET TRIPLE R","SMTHDA534ZLAB3875","EHC04"
"U06338","30/03/24","Allocated","Used","TRI","STREET TRIPLE RS","SMTHDA554ZMAD0978","ETB25"
"U06301","26/02/24","Allocated","Used","TRI","2014 TIGER 800 ABS","SMTTRE05B8E603502","JKH97"
"U06196","27/10/23","For Sale","Used","TRI","TIGER 800 XC ABS","SMTE09BF1KT940306","EHB53"
"U06410","14/06/24","Allocated","Used","TRI","THRUXTON 900 SE               ","SMTTJ9147GC537687","HBR93"
"U05665","11/06/22","Allocated","Used","TRI","THRUXTON 900                  ","SMTTJ9147GF669141","HGY49"
"U06111","19/08/23","Allocated","Used","TRI","STREET SCRAMBLER","SMTDAD40GDK927284","HNA77"
"U06240","18/12/23","Allocated","Used","TRI","TIGER 900 RALLY","SMTTRE63D8PBJ5394","HDK44"
"U06255","03/01/24","Allocated","Used","TRI","BONNEV ILLE T120 2018","SMTDAD37HWJ879882","DCH00"
"U06490","31/08/24","For Sale","Used","TRI","SPEED TWIN","5MTD54HF7LTAB0708","EUW64"
"U06166","27/09/23","Allocated","Used","TRI","BONNEVILLE T120","SMTDAD37HWPBC2529","HKF64"
"U06328","18/03/24","Allocated","Used","TRI","BONNEVILLE T120","SMTDAD37HWPBD7720","FSN57"
"U06466","15/08/24","For Sale","Used","TRI","SPEED TRIPLE 1200 RR","SMTS3P02SCNAY9242","HQE17"
"U06211","04/11/23","For Sale","Used","TRI","2005 TRIUMPH 1050CC SPRINT ST","SMTTF6855J5228913","LYU75"
"U06473","20/08/24","For Sale","Used","TRI","TIGER SPORT","SMTTP7485FLAA3008","HIM71"
"U06504","12/09/24","Allocated","Used","VES","LX 150                        ","ZAPM4420000003953","CFM34"
"U06325","13/03/24","Allocated","Used","VES","GTS 300 SUPER SPORT","RP8MD3107PV000164","GYS62"
"U06202","03/11/23","For Sale","Used","VIC","GUNNER","5VPLW36EXG3051175","FPN71"
"U06290","21/02/24","Allocated","Used","YAM","D ELIGHT 125 (LTS125-C)","RLCSEH228NY001077","GVG06"
"U06341","03/04/24","Allocated","Used","YAM","YZ125","JYACE34C0PA008488","008488"
"U06395","31/05/24","Allocated","Used","YAM","MT-03 (MT03LA) (ABS)","MH3RH07L2GB002140","MEQ49"
"U06353","20/04/24","Allocated","Used","YAM","YZF-R3A","MH3RH0721HB006530","FZY18"
"U06184","12/10/23","Allocated","Used","YAM","MT-03 (MT03LA) (ABS)","MH3RH1272JK001450","HGY29"
"U06464","13/08/24","For Sale","Used","YAM","MT-03 (MT03LA) (ABS)","MH3RH1272KK002549","EIU85"
"U06385","24/05/24","Allocated","Used","YAM","XMAX 300 (CZD300A)","MH3SH0848LK010987","GBF34"
"U06336","23/03/24","Allocated","Used","YAM","XMAX 300 (CZD300A)","MH3SH2213PK001677","HFE12"
"U06235","08/12/23","Allocated","Used","YAM","WR450F","JYACJ28WXMA002347","ELG03"
"U06310","04/03/24","Allocated","Used","YAM","WR450F","JYACJ28WXMA002347","ELG03"
"U06320","09/03/24","Allocated","Used","YAM","MT-07 LA (ABS)","JYARM04B1GA001472","JDN20"
"U06357","22/04/24","Allocated","Used","YAM","MT-07","JYARM04B8GA001825","BKZ65"
"U06248","23/12/23","Allocated","Used","YAM","MT-07 LA (ABS)","JYARM04G4KA001938","KQH45"
"U06062","04/07/23","Allocated","Used","YAM","XT660R                        ","VG5DM01957A100120","SBT33"
"U06313","05/03/24","Allocated","Used","YAM","TENERE 700 WORLD RAID","VG5DM1170PA000320","GYZ78"
"U06094","03/08/23","Allocated","Used","YAM","MT-09","JYARN29V8GA000413","GEG51"
"U06256","03/01/24","Allocated","Used","YAM","YZF-R1                        ","JYARN2242BA001471","HJA69"
"U06076","15/07/23","Allocated","Used","YAM","MT-10SP","JYARN4576HA000012","GDD36"
"U06292","22/02/24","Allocated","Used","YAM","MT-10A","JYARN45B0JA000260","RO807"
"U06468","17/08/24","For Sale","Used","YAM","MT-10SP","JYARN4576KA000373","EHR98"
